# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
10,2,50,5,auto,False,0.6329284750337382,0.5698924731182796
10,2,50,10,auto,True,0.6329284750337382,0.5913978494623656
10,2,50,10,auto,False,0.631578947368421,0.5591397849462365
10,2,50,20,auto,True,0.6369770580296896,0.5806451612903226
10,2,50,20,auto,False,0.6302294197031039,0.5591397849462365
10,5,2,1,auto,True,0.7516869095816464,0.5806451612903226
10,5,2,1,auto,False,0.7692307692307693,0.6129032258064516
10,5,2,2,auto,True,0.7462887989203779,0.5860215053763441
10,5,2,2,auto,False,0.7611336032388664,0.5913978494623656
10,5,2,5,auto,True,0.7489878542510121,0.5698924731182796
10,5,2,5,auto,False,0.7624831309041835,0.5645161290322581
10,5,2,10,auto,True,0.7368421052631579,0.5752688172043011
10,5,2,10,auto,False,0.7692307692307693,0.5483870967741935
10,5,2,20,auto,True,0.7233468286099866,0.5268817204301075
10,5,2,20,auto,False,0.7327935222672065,0.5483870967741935
10,5,5,1,auto,True,0.7503373819163293,0.5645161290322581
10,5,5,1,auto,False,0.7705802968960864,0.6021505376344086
10,5,5,2,auto,True,0.7435897435897436,0.6021505376344086
10,5,5,2,auto,False,0.7624831309041835,0.5913978494623656
10,5,5,5,auto,True,0.7489878542510121,0.5698924731182796
10,5,5,5,auto,False,0.7624831309041835,0.5645161290322581
10,5,5,10,auto,True,0.7368421052631579,0.5752688172043011
10,5,5,10,auto,False,0.7692307692307693,0.5483870967741935
10,5,5,20,auto,True,0.7233468286099866,0.5268817204301075
10,5,5,20,auto,False,0.7327935222672065,0.5483870967741935
10,5,10,1,auto,True,0.7489878542510121,0.5752688172043011
10,5,10,1,auto,False,0.766531713900135,0.543010752688172
10,5,10,2,auto,True,0.7462887989203779,0.6075268817204301
10,5,10,2,auto,False,0.7651821862348178,0.5483870967741935
10,5,10,5,auto,True,0.7489878542510121,0.5698924731182796
10,5,10,5,auto,False,0.7624831309041835,0.5645161290322581
10,5,10,10,auto,True,0.7368421052631579,0.5752688172043011
10,5,10,10,auto,False,0.7692307692307693,0.5483870967741935
10,5,10,20,auto,True,0.7233468286099866,0.5268817204301075
10,5,10,20,auto,False,0.7327935222672065,0.5483870967741935
10,5,20,1,auto,True,0.7435897435897436,0.5376344086021505
10,5,20,1,auto,False,0.7395411605937922,0.5645161290322581
10,5,20,2,auto,True,0.7354925775978407,0.5161290322580645
10,5,20,2,auto,False,0.7395411605937922,0.5645161290322581
10,5,20,5,auto,True,0.7395411605937922,0.521505376344086
10,5,20,5,auto,False,0.7368421052631579,0.5698924731182796
10,5,20,10,auto,True,0.7368421052631579,0.5752688172043011
10,5,20,10,auto,False,0.7692307692307693,0.5483870967741935
10,5,20,20,auto,True,0.7233468286099866,0.5268817204301075
10,5,20,20,auto,False,0.7327935222672065,0.5483870967741935
10,5,50,1,auto,True,0.7246963562753036,0.5645161290322581
10,5,50,1,auto,False,0.7435897435897436,0.5645161290322581
10,5,50,2,auto,True,0.7219973009446694,0.5645161290322581
10,5,50,2,auto,False,0.7435897435897436,0.5591397849462365
10,5,50,5,auto,True,0.7152496626180836,0.532258064516129
10,5,50,5,auto,False,0.7354925775978407,0.5698924731182796
10,5,50,10,auto,True,0.7165991902834008,0.5591397849462365
10,5,50,10,auto,False,0.7152496626180836,0.553763440860215
10,5,50,20,auto,True,0.7139001349527665,0.5376344086021505
10,5,50,20,auto,False,0.708502024291498,0.5645161290322581
10,10,2,1,auto,True,0.951417004048583,0.5698924731182796
10,10,2,1,auto,False,0.9770580296896086,0.5483870967741935
10,10,2,2,auto,True,0.9392712550607287,0.5913978494623656
10,10,2,2,auto,False,0.9730094466936572,0.5806451612903226
10,10,2,5,auto,True,0.8717948717948718,0.5376344086021505
10,10,2,5,auto,False,0.921727395411606,0.5806451612903226
10,10,2,10,auto,True,0.8083670715249662,0.6075268817204301
10,10,2,10,auto,False,0.8785425101214575,0.6075268817204301
10,10,2,20,auto,True,0.7314439946018894,0.543010752688172
