# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
18.473320,29.381326,10.913066,26.941500,0.911420,0.874655,0.916465,0.875004,0.203542,0.193553,0.204579,0.193566,0.941193,0.906271,0.965182,0.914054,0.811278,1.500000,1.500000,0.000000
17.872652,39.745104,16.219153,24.351402,0.920171,0.885112,0.922901,0.885627,0.197758,0.188571,0.198626,0.188619,0.942805,0.872267,0.947868,0.921739,2.000000,1.500000,1.500000,0.000000
41.379858,53.172087,14.663285,53.920000,0.902695,0.863466,0.908245,0.863340,0.259344,0.245644,0.259827,0.245605,0.867454,0.828973,0.952824,0.826567,0.000000,0.000000,0.000000,0.000000
18.115237,32.182054,14.574781,30.179639,0.901003,0.856077,0.905296,0.856381,0.222591,0.209379,0.223861,0.209406,0.949330,0.909929,0.959204,0.915533,2.000000,2.000000,2.000000,0.811278
47.032137,69.598308,26.354057,69.590140,0.855993,0.813345,0.864607,0.813461,0.180323,0.169475,0.181455,0.169461,0.925697,0.889955,0.958318,0.889968,1.500000,0.000000,0.000000,0.000000
19.056211,37.901089,15.273957,24.084127,0.514282,0.451955,0.516510,0.451988,0.076555,0.069319,0.076818,0.069204,0.945402,0.890471,0.956335,0.930401,0.000000,0.000000,0.000000,0.000000
23.469231,30.405893,9.748069,32.265482,0.920801,0.887192,0.927645,0.887253,0.208133,0.199180,0.209648,0.199195,0.912659,0.886813,0.963705,0.879891,2.000000,2.000000,2.000000,0.811278
30.216523,45.752717,20.188888,50.461088,0.874337,0.838614,0.879108,0.838992,0.235705,0.225365,0.236000,0.225398,0.936854,0.904387,0.957798,0.894547,2.000000,2.000000,2.000000,0.000000
30.119505,53.906305,23.924851,48.665852,0.875846,0.826790,0.876723,0.826949,0.170194,0.158108,0.170130,0.158088,0.931951,0.877825,0.945778,0.889702,0.811278,0.000000,0.000000,0.000000
24.062279,33.333792,9.307367,29.480810,0.904954,0.862961,0.912118,0.863222,0.182162,0.172092,0.183630,0.172111,0.926419,0.897593,0.971445,0.909430,0.811278,0.000000,0.000000,0.000000
37.432992,59.246214,18.953283,47.569087,0.894108,0.855231,0.900012,0.855741,0.191436,0.181386,0.192035,0.181415,0.907285,0.853251,0.953044,0.882175,1.500000,1.500000,1.500000,0.000000
19.006282,28.146022,11.840089,30.144374,0.925655,0.888924,0.928375,0.889062,0.207943,0.197607,0.208412,0.197632,0.923845,0.887216,0.952548,0.879208,2.000000,2.000000,2.000000,0.811278
20.888459,30.810410,12.558899,32.508886,0.895293,0.859560,0.901944,0.859829,0.205399,0.196088,0.206737,0.196107,0.928930,0.895098,0.957232,0.889316,0.000000,0.000000,0.000000,0.000000
16.961782,24.586345,9.575288,25.963371,0.934441,0.900074,0.934996,0.900066,0.227549,0.217071,0.227373,0.217062,0.928927,0.896957,0.959863,0.891186,2.000000,2.000000,2.000000,1.500000
37.709498,64.935261,20.607294,45.931619,0.905424,0.874356,0.911111,0.875188,0.216043,0.207522,0.216515,0.207567,0.927973,0.875979,0.960632,0.912274,2.000000,2.000000,2.000000,0.811278
51.318286,91.469497,30.693984,64.568765,0.895804,0.866593,0.901937,0.867751,0.180073,0.172764,0.180795,0.172869,0.935037,0.884240,0.961161,0.918284,2.000000,2.000000,2.000000,2.000000
18.891433,51.308334,20.280780,19.559556,0.519509,0.456457,0.518635,0.458752,0.083750,0.075865,0.083716,0.075945,0.933446,0.817075,0.928315,0.930266,0.811278,1.500000,1.500000,0.811278
18.918877,28.010830,9.000070,25.059098,0.925249,0.885023,0.924920,0.885229,0.227863,0.215783,0.227280,0.215799,0.928948,0.894788,0.966229,0.905875,2.000000,2.000000,2.000000,0.000000
16.343562,30.875080,12.173538,22.938263,0.926001,0.891440,0.927686,0.891696,0.232222,0.222324,0.232531,0.222329,0.924438,0.857197,0.943688,0.893907,0.000000,0.000000,0.000000,0.000000
18.501649,31.910912,11.057432,23.913985,0.921756,0.886930,0.923962,0.887272,0.250900,0.239951,0.251225,0.239995,0.913015,0.849935,0.947993,0.887541,2.000000,2.000000,2.000000,0.000000
19.761226,34.862721,17.981544,37.267095,0.922384,0.885730,0.920219,0.885643,0.217701,0.206381,0.216718,0.206383,0.946228,0.905022,0.951055,0.898472,2.000000,2.000000,2.000000,0.811278
53.769021,88.536097,26.629701,63.525706,0.874850,0.841701,0.883700,0.843074,0.193767,0.185633,0.194568,0.185741,0.895356,0.827706,0.948163,0.876377,2.000000,2.000000,2.000000,0.000000
46.601123,70.798737,32.837431,80.218249,0.879176,0.842223,0.882238,0.842036,0.210751,0.200855,0.211030,0.200863,0.924251,0.884745,0.946620,0.869411,2.000000,2.000000,2.000000,2.000000
