# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
14.700025,22.379694,7.428536,20.343184,0.939995,0.908542,0.969635,0.916864,0.886591,0.847136,0.883514,0.847671,3.946930,4.118531,3.949370,4.114095,0.208047,0.196232,0.206860,0.196216
9.915992,20.987512,8.490964,13.781930,0.950769,0.895289,0.957634,0.931248,0.901518,0.862701,0.894232,0.864284,3.742327,3.917578,3.771315,3.904536,0.221900,0.209729,0.219954,0.210040
19.969646,26.925552,8.396684,27.608078,0.914602,0.884604,0.963995,0.881678,0.881513,0.840407,0.876765,0.840636,3.648132,3.823078,3.657993,3.823451,0.245786,0.230359,0.242463,0.230398
15.004371,26.088904,11.761910,25.144595,0.947229,0.908252,0.958614,0.911573,0.875813,0.831816,0.871182,0.832255,3.668572,3.849604,3.683211,3.846270,0.248453,0.232371,0.246461,0.232462
39.236105,57.566820,21.222090,58.465285,0.930902,0.898603,0.962599,0.897021,0.832045,0.788163,0.830264,0.787947,4.442878,4.631356,4.430026,4.630822,0.189200,0.176025,0.187609,0.175785
18.858739,38.960689,13.092912,22.110785,0.950406,0.897032,0.965770,0.941571,0.850200,0.816418,0.854065,0.813011,4.517204,4.674990,4.494927,4.674642,0.148838,0.139071,0.149791,0.137714
12.354201,16.031441,5.349726,17.821523,0.932409,0.912299,0.970719,0.902506,0.898019,0.861780,0.896993,0.862520,3.741476,3.895589,3.736242,3.894087,0.221685,0.210438,0.221049,0.210555
32.242847,46.002410,18.319551,51.245437,0.932422,0.903622,0.961599,0.892638,0.853007,0.816490,0.848897,0.817696,4.097202,4.269934,4.097612,4.267724,0.237542,0.225700,0.235049,0.225777
26.275661,46.711841,21.113769,43.880958,0.946028,0.903967,0.956590,0.909788,0.854654,0.807256,0.845137,0.807560,4.472804,4.673620,4.506879,4.670988,0.168401,0.155924,0.165633,0.155974
10.363481,15.102019,4.746251,13.646700,0.947392,0.922940,0.975840,0.930345,0.882955,0.840615,0.880919,0.841506,3.993686,4.164221,3.985817,4.159659,0.201262,0.188857,0.200226,0.188987
22.869619,34.739394,10.500465,29.061705,0.922375,0.882087,0.964341,0.901359,0.868974,0.828835,0.866397,0.830420,4.190999,4.366628,4.185275,4.354302,0.190043,0.178832,0.188372,0.178994
10.399037,15.389499,6.773265,17.271270,0.945475,0.919301,0.964471,0.909434,0.903370,0.864518,0.896630,0.865099,3.753444,3.919179,3.778168,3.917143,0.218928,0.206561,0.216334,0.206768
17.592487,24.493805,8.928850,26.299892,0.925795,0.896640,0.962299,0.889020,0.874259,0.835780,0.870853,0.835833,3.823541,3.989723,3.823552,3.990419,0.236964,0.223904,0.235130,0.223823
10.693448,14.862102,5.551521,16.200385,0.934521,0.908965,0.965984,0.900768,0.910503,0.873601,0.902581,0.873490,3.520065,3.679582,3.548796,3.679858,0.245002,0.231881,0.241669,0.231974
28.662260,48.373309,15.406069,36.063723,0.930756,0.883169,0.962769,0.912899,0.889358,0.854780,0.884555,0.857027,3.795234,3.956841,3.805966,3.942667,0.236419,0.224984,0.233999,0.225350
37.571106,64.513165,20.111289,46.018152,0.924910,0.871130,0.959817,0.908076,0.875984,0.843814,0.873101,0.845766,4.065816,4.228014,4.065961,4.210265,0.212415,0.202316,0.210479,0.202520
12.822345,35.388553,12.991451,13.046226,0.952290,0.866200,0.951098,0.950831,0.853899,0.821761,0.855254,0.826436,4.292886,4.460439,4.283325,4.410365,0.171029,0.160360,0.171821,0.160759
12.034037,17.532961,5.602546,16.130059,0.929048,0.896613,0.966965,0.904884,0.900512,0.858047,0.891270,0.859118,3.523652,3.699357,3.555716,3.693673,0.252082,0.236610,0.247871,0.236906
9.535417,17.864360,7.389713,14.299740,0.940294,0.888084,0.953684,0.910416,0.906024,0.868589,0.898686,0.868614,3.446731,3.610787,3.475742,3.607752,0.263323,0.249787,0.260665,0.249739
11.427968,19.910703,7.355519,15.847041,0.933719,0.884506,0.957309,0.908078,0.901118,0.864157,0.895153,0.864754,3.442013,3.603854,3.462678,3.598970,0.266447,0.252580,0.263742,0.252687
17.175513,26.971279,12.349807,29.706890,0.943327,0.911010,0.959256,0.901985,0.895298,0.855343,0.884564,0.855245,3.820273,4.001037,3.865901,4.001579,0.216690,0.203363,0.212711,0.203495
34.330355,55.092096,15.131292,39.865891,0.917926,0.868314,0.963817,0.904709,0.860456,0.825425,0.859260,0.828230,4.211099,4.377182,4.192717,4.356093,0.205705,0.195603,0.203994,0.195963
34.509990,50.783103,22.540664,58.439699,0.928263,0.894334,0.953113,0.878397,0.861252,0.823206,0.854781,0.822781,4.035905,4.210657,4.052389,4.215205,0.227585,0.215749,0.225164,0.215599
26.205342,45.492197,15.272774,33.857459,0.917154,0.856127,0.951673,0.892923,0.846165,0.807053,0.845177,0.808969,4.008008,4.188035,3.999374,4.171554,0.238615,0.225036,0.236261,0.225128
34.989338,49.317378,23.562232,62.662970,0.940336,0.915934,0.959810,0.893185,0.844009,0.804673,0.839797,0.802540,4.347494,4.522668,4.353710,4.537843,0.193143,0.181213,0.191225,0.180918
21.554896,37.000385,9.890106,22.928823,0.926845,0.874418,0.966421,0.922179,0.875859,0.842424,0.875914,0.844943,4.143392,4.304034,4.123725,4.278749,0.202284,0.192642,0.201062,0.192858
