# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
5.989462,11.682658,4.577176,8.312655,0.990697,0.981827,0.992882,0.987068,0.902306,0.862930,0.891683,0.864746,4.844268,5.027917,4.883502,5.014506,0.124760,0.117989,0.122495,0.118124
10.727667,16.394283,7.930889,18.947012,0.985121,0.977200,0.988973,0.973646,0.857130,0.808996,0.846339,0.808607,5.219548,5.417417,5.244235,5.428516,0.111289,0.103468,0.109286,0.103438
3.738060,7.196214,3.378558,6.239630,0.994703,0.989780,0.995204,0.991138,0.858481,0.810552,0.856485,0.812453,5.174769,5.374856,5.172562,5.360670,0.107522,0.100016,0.107353,0.100220
5.515097,8.353832,3.054580,7.816269,0.990646,0.985805,0.994812,0.986718,0.900524,0.861162,0.891365,0.861903,4.806458,4.987208,4.835356,4.982197,0.125770,0.118838,0.123880,0.118898
16.647398,32.476321,11.975295,21.945694,0.935908,0.874841,0.953861,0.915423,0.867018,0.837159,0.870886,0.837340,4.148470,4.292448,4.124366,4.283188,0.191163,0.179733,0.192256,0.179541
17.087736,23.756992,10.068398,28.257418,0.976823,0.967574,0.986320,0.961321,0.862523,0.819165,0.850082,0.818678,5.146049,5.340417,5.177996,5.349462,0.120612,0.113774,0.118267,0.113786
9.036496,15.003987,6.094453,13.758912,0.988077,0.980096,0.991923,0.981749,0.877363,0.830899,0.861967,0.832381,5.091800,5.305032,5.142750,5.294016,0.116438,0.109290,0.114080,0.109445
7.822779,15.536861,6.085926,11.142046,0.991284,0.982598,0.993205,0.987492,0.895768,0.849781,0.878041,0.853275,4.994161,5.207294,5.059179,5.179451,0.117591,0.110856,0.115111,0.111241
18.961741,34.336857,10.813151,22.552383,0.974927,0.954389,0.985636,0.970045,0.857857,0.815913,0.848672,0.820881,5.189570,5.399681,5.201332,5.353169,0.117926,0.111330,0.115851,0.111793
12.408085,21.966989,8.828492,18.422338,0.982740,0.969250,0.987655,0.974219,0.882966,0.840387,0.868402,0.842643,4.986954,5.186054,5.030147,5.168558,0.124245,0.117536,0.121917,0.117879
20.451589,35.968155,13.181087,28.424831,0.976850,0.959091,0.985035,0.967656,0.844204,0.797079,0.830878,0.802242,5.329440,5.557637,5.360401,5.519498,0.113775,0.107053,0.111529,0.107506
17.229761,27.486316,9.994380,24.529294,0.979480,0.967030,0.988029,0.970581,0.864580,0.821719,0.856150,0.822064,5.210633,5.410759,5.220967,5.401370,0.115182,0.108490,0.113234,0.108637
11.597516,21.269948,10.585516,21.202159,0.984708,0.971790,0.985975,0.971874,0.880778,0.838180,0.866108,0.837915,5.028305,5.237268,5.085260,5.236650,0.122353,0.115734,0.119850,0.115804
6.720034,10.433652,5.865270,13.414835,0.990693,0.985432,0.991872,0.981345,0.889951,0.845572,0.875833,0.843798,4.963424,5.161540,5.019814,5.173261,0.120577,0.113324,0.118029,0.113133
11.696290,19.588483,7.750452,17.477895,0.982696,0.970852,0.988479,0.973994,0.879199,0.837899,0.868938,0.839137,4.995006,5.186603,5.016567,5.175680,0.124854,0.118043,0.122587,0.118221
14.825147,23.315298,14.857661,33.122528,0.945530,0.914360,0.945405,0.878338,0.885077,0.860429,0.885457,0.856534,4.051551,4.179862,4.049223,4.201828,0.184748,0.175891,0.185578,0.174725
9.753696,16.154691,5.901146,13.629956,0.987923,0.979945,0.992677,0.983081,0.902657,0.862946,0.886879,0.864044,4.913124,5.102901,4.970511,5.092050,0.123359,0.116858,0.120478,0.116983
9.222320,17.617263,6.459822,12.157105,0.990396,0.981465,0.993256,0.987277,0.888065,0.843665,0.875410,0.844135,5.071527,5.274203,5.116603,5.256389,0.115088,0.108253,0.112636,0.108269
6.022220,11.508273,4.329880,8.135923,0.992763,0.986138,0.994784,0.990201,0.908633,0.867617,0.895391,0.866996,4.906347,5.090814,4.956561,5.086210,0.116851,0.109946,0.114375,0.109873
4.682920,8.138663,3.980105,8.414812,0.992435,0.986725,0.993573,0.986340,0.927486,0.888136,0.912448,0.887852,4.534609,4.714376,4.595741,4.715042,0.139834,0.133065,0.137390,0.133103
15.234214,26.471120,9.663779,20.964115,0.981696,0.967998,0.988425,0.974697,0.872119,0.827973,0.863783,0.829706,5.155651,5.360884,5.175031,5.342126,0.116075,0.109221,0.114216,0.109413
7.815240,15.324676,5.879229,10.763664,0.991044,0.982325,0.993228,0.987589,0.906948,0.862956,0.890877,0.863935,4.862751,5.061562,4.924366,5.048356,0.123656,0.116384,0.120928,0.116493
13.653891,22.494985,8.215689,19.474870,0.982219,0.970397,0.989200,0.974378,0.899988,0.861425,0.888205,0.861897,4.856841,5.041674,4.894862,5.032669,0.128252,0.121961,0.126000,0.121997
4.926932,8.620854,4.100888,8.607780,0.993715,0.988890,0.994720,0.988907,0.900783,0.856243,0.884961,0.856662,4.898854,5.101347,4.949689,5.096354,0.123150,0.116193,0.120865,0.116360
6.631657,10.408111,4.643313,11.074348,0.990293,0.984660,0.993165,0.983675,0.901848,0.859239,0.885799,0.858985,4.836368,5.028745,4.895541,5.029685,0.126298,0.119137,0.123600,0.119082
6.187602,7.851630,5.642473,14.463265,0.993740,0.991950,0.994231,0.985145,0.910942,0.867851,0.892351,0.865368,4.878945,5.061688,4.953742,5.083348,0.120207,0.113453,0.117535,0.113287
13.873953,22.732019,14.409488,31.138586,0.956630,0.928481,0.954671,0.902016,0.866502,0.837073,0.866830,0.829569,4.340731,4.477967,4.337208,4.513933,0.162236,0.152731,0.163082,0.150859
7.608823,11.985209,5.819608,13.439946,0.987614,0.980436,0.990503,0.978060,0.893987,0.849112,0.877011,0.848260,4.838686,5.035883,4.902699,5.041874,0.126703,0.118840,0.123739,0.118772
13.539790,23.988585,8.197670,17.841976,0.985511,0.973976,0.991149,0.980620,0.898466,0.856535,0.884172,0.858420,4.870207,5.058681,4.908788,5.043163,0.128152,0.121951,0.126127,0.122120
11.235981,18.919884,7.210005,16.327270,0.983449,0.971870,0.989311,0.975702,0.872818,0.826326,0.858776,0.827905,4.967245,5.178946,5.002469,5.162384,0.128484,0.121080,0.126345,0.121373
7.481846,14.468599,6.534989,12.475574,0.991093,0.982548,0.992117,0.984951,0.910954,0.866428,0.890718,0.867189,4.848265,5.057290,4.928255,5.047142,0.124609,0.117974,0.121980,0.118150
10.057571,15.046036,6.230132,16.368905,0.984658,0.976703,0.990527,0.974772,0.880800,0.836138,0.866871,0.835665,4.867630,5.076381,4.917925,5.076110,0.131138,0.123600,0.128185,0.123648
10.207038,15.365237,6.845840,17.260058,0.987514,0.980950,0.991558,0.978557,0.893010,0.847617,0.876225,0.847397,4.922920,5.124219,4.983326,5.125810,0.122189,0.114747,0.119396,0.114764
13.730074,31.467461,11.552630,16.410789,0.983024,0.960697,0.985639,0.979494,0.875594,0.827503,0.861434,0.832620,5.096585,5.323418,5.146872,5.274236,0.116951,0.109373,0.114763,0.109942
18.649559,32.629659,12.130574,26.176282,0.961941,0.933248,0.975227,0.946452,0.779132,0.727730,0.787126,0.729564,4.590365,4.795731,4.552082,4.767578,0.176872,0.160219,0.177686,0.161636
