# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
10,20,50,2,auto,False,0.9689655172413794,0.684931506849315
10,20,50,5,auto,True,0.8655172413793103,0.7123287671232876
10,20,50,5,auto,False,0.9793103448275862,0.7397260273972602
10,20,50,10,auto,True,0.8344827586206897,0.6986301369863014
10,20,50,10,auto,False,0.9517241379310345,0.6712328767123288
10,20,50,20,auto,True,0.803448275862069,0.6712328767123288
10,20,50,20,auto,False,0.9206896551724137,0.684931506849315
10,50,2,1,auto,True,0.993103448275862,0.7397260273972602
10,50,2,1,auto,False,1.0,0.6986301369863014
10,50,2,2,auto,True,0.993103448275862,0.684931506849315
10,50,2,2,auto,False,1.0,0.726027397260274
10,50,2,5,auto,True,0.9620689655172414,0.6986301369863014
10,50,2,5,auto,False,1.0,0.7397260273972602
10,50,2,10,auto,True,0.906896551724138,0.6986301369863014
10,50,2,10,auto,False,0.9827586206896551,0.6438356164383562
10,50,2,20,auto,True,0.8241379310344827,0.7123287671232876
10,50,2,20,auto,False,0.9517241379310345,0.6712328767123288
10,50,5,1,auto,True,0.9896551724137931,0.6712328767123288
10,50,5,1,auto,False,1.0,0.684931506849315
10,50,5,2,auto,True,0.9862068965517241,0.6301369863013698
10,50,5,2,auto,False,1.0,0.7534246575342466
10,50,5,5,auto,True,0.9620689655172414,0.6986301369863014
10,50,5,5,auto,False,1.0,0.7397260273972602
10,50,5,10,auto,True,0.906896551724138,0.6986301369863014
10,50,5,10,auto,False,0.9827586206896551,0.6438356164383562
10,50,5,20,auto,True,0.8241379310344827,0.7123287671232876
10,50,5,20,auto,False,0.9517241379310345,0.6712328767123288
10,50,10,1,auto,True,0.9827586206896551,0.6575342465753424
10,50,10,1,auto,False,1.0,0.6575342465753424
10,50,10,2,auto,True,0.9827586206896551,0.6986301369863014
10,50,10,2,auto,False,1.0,0.6986301369863014
10,50,10,5,auto,True,0.9620689655172414,0.6986301369863014
10,50,10,5,auto,False,1.0,0.7397260273972602
10,50,10,10,auto,True,0.906896551724138,0.6986301369863014
10,50,10,10,auto,False,0.9827586206896551,0.6438356164383562
10,50,10,20,auto,True,0.8241379310344827,0.7123287671232876
10,50,10,20,auto,False,0.9517241379310345,0.6712328767123288
10,50,20,1,auto,True,0.9586206896551724,0.684931506849315
10,50,20,1,auto,False,1.0,0.6575342465753424
10,50,20,2,auto,True,0.9724137931034482,0.684931506849315
10,50,20,2,auto,False,1.0,0.6986301369863014
10,50,20,5,auto,True,0.9310344827586207,0.726027397260274
10,50,20,5,auto,False,1.0,0.6575342465753424
10,50,20,10,auto,True,0.906896551724138,0.6986301369863014
10,50,20,10,auto,False,0.9827586206896551,0.6438356164383562
10,50,20,20,auto,True,0.8241379310344827,0.7123287671232876
10,50,20,20,auto,False,0.9517241379310345,0.6712328767123288
10,50,50,1,auto,True,0.8862068965517241,0.7123287671232876
10,50,50,1,auto,False,0.9724137931034482,0.726027397260274
10,50,50,2,auto,True,0.8655172413793103,0.6575342465753424
10,50,50,2,auto,False,0.9689655172413794,0.684931506849315
10,50,50,5,auto,True,0.8655172413793103,0.7123287671232876
10,50,50,5,auto,False,0.9793103448275862,0.7397260273972602
10,50,50,10,auto,True,0.8344827586206897,0.6986301369863014
10,50,50,10,auto,False,0.9517241379310345,0.6712328767123288
10,50,50,20,auto,True,0.803448275862069,0.6712328767123288
10,50,50,20,auto,False,0.9206896551724137,0.684931506849315
50,2,2,1,auto,True,0.7724137931034483,0.684931506849315
50,2,2,1,auto,False,0.7724137931034483,0.6712328767123288
50,2,2,2,auto,True,0.7724137931034483,0.684931506849315
50,2,2,2,auto,False,0.7724137931034483,0.6712328767123288
50,2,2,5,auto,True,0.7655172413793103,0.684931506849315
50,2,2,5,auto,False,0.7689655172413793,0.6712328767123288
50,2,2,10,auto,True,0.7655172413793103,0.6575342465753424
50,2,2,10,auto,False,0.7793103448275862,0.6712328767123288
50,2,2,20,auto,True,0.7413793103448276,0.684931506849315
50,2,2,20,auto,False,0.7758620689655172,0.6438356164383562
50,2,5,1,auto,True,0.7724137931034483,0.684931506849315
50,2,5,1,auto,False,0.7724137931034483,0.6712328767123288
50,2,5,2,auto,True,0.7724137931034483,0.684931506849315
50,2,5,2,auto,False,0.7724137931034483,0.6712328767123288
50,2,5,5,auto,True,0.7655172413793103,0.684931506849315
50,2,5,5,auto,False,0.7689655172413793,0.6712328767123288
50,2,5,10,auto,True,0.7655172413793103,0.6575342465753424
50,2,5,10,auto,False,0.7793103448275862,0.6712328767123288
50,2,5,20,auto,True,0.7413793103448276,0.684931506849315
50,2,5,20,auto,False,0.7758620689655172,0.6438356164383562
50,2,10,1,auto,True,0.7724137931034483,0.684931506849315
50,2,10,1,auto,False,0.7724137931034483,0.6712328767123288
50,2,10,2,auto,True,0.7724137931034483,0.684931506849315
50,2,10,2,auto,False,0.7724137931034483,0.6712328767123288
50,2,10,5,auto,True,0.7655172413793103,0.684931506849315
50,2,10,5,auto,False,0.7689655172413793,0.6712328767123288
50,2,10,10,auto,True,0.7655172413793103,0.6575342465753424
50,2,10,10,auto,False,0.7793103448275862,0.6712328767123288
50,2,10,20,auto,True,0.7413793103448276,0.684931506849315
50,2,10,20,auto,False,0.7758620689655172,0.6438356164383562
50,2,20,1,auto,True,0.7724137931034483,0.684931506849315
50,2,20,1,auto,False,0.7724137931034483,0.6712328767123288
50,2,20,2,auto,True,0.7724137931034483,0.684931506849315
50,2,20,2,auto,False,0.7724137931034483,0.6712328767123288
50,2,20,5,auto,True,0.7689655172413793,0.684931506849315
50,2,20,5,auto,False,0.7689655172413793,0.6712328767123288
50,2,20,10,auto,True,0.7655172413793103,0.6575342465753424
50,2,20,10,auto,False,0.7793103448275862,0.6712328767123288
50,2,20,20,auto,True,0.7413793103448276,0.684931506849315
50,2,20,20,auto,False,0.7758620689655172,0.6438356164383562
50,2,50,1,auto,True,0.7620689655172413,0.684931506849315
50,2,50,1,auto,False,0.7689655172413793,0.6712328767123288
50,2,50,2,auto,True,0.7620689655172413,0.684931506849315
50,2,50,2,auto,False,0.7689655172413793,0.6712328767123288
50,2,50,5,auto,True,0.7620689655172413,0.684931506849315
50,2,50,5,auto,False,0.7689655172413793,0.6712328767123288
50,2,50,10,auto,True,0.7620689655172413,0.684931506849315
50,2,50,10,auto,False,0.7689655172413793,0.6712328767123288
50,2,50,20,auto,True,0.7517241379310344,0.6575342465753424
50,2,50,20,auto,False,0.7724137931034483,0.6438356164383562
50,5,2,1,auto,True,0.9689655172413794,0.7123287671232876
50,5,2,1,auto,False,1.0,0.726027397260274
50,5,2,2,auto,True,0.9758620689655172,0.7534246575342466
50,5,2,2,auto,False,1.0,0.7534246575342466
50,5,2,5,auto,True,0.9586206896551724,0.7123287671232876
50,5,2,5,auto,False,1.0,0.6712328767123288
50,5,2,10,auto,True,0.9206896551724137,0.6986301369863014
50,5,2,10,auto,False,0.9827586206896551,0.7123287671232876
50,5,2,20,auto,True,0.8310344827586207,0.6986301369863014
50,5,2,20,auto,False,0.9344827586206896,0.684931506849315
50,5,5,1,auto,True,0.9758620689655172,0.726027397260274
50,5,5,1,auto,False,1.0,0.7671232876712328
50,5,5,2,auto,True,0.9758620689655172,0.7671232876712328
50,5,5,2,auto,False,1.0,0.7671232876712328
50,5,5,5,auto,True,0.9586206896551724,0.7123287671232876
50,5,5,5,auto,False,1.0,0.6712328767123288
50,5,5,10,auto,True,0.9206896551724137,0.6986301369863014
50,5,5,10,auto,False,0.9827586206896551,0.7123287671232876
50,5,5,20,auto,True,0.8310344827586207,0.6986301369863014
50,5,5,20,auto,False,0.9344827586206896,0.684931506849315
50,5,10,1,auto,True,0.9689655172413794,0.7123287671232876
50,5,10,1,auto,False,1.0,0.726027397260274
50,5,10,2,auto,True,0.9793103448275862,0.6986301369863014
50,5,10,2,auto,False,1.0,0.684931506849315
50,5,10,5,auto,True,0.9586206896551724,0.7123287671232876
50,5,10,5,auto,False,1.0,0.6712328767123288
50,5,10,10,auto,True,0.9206896551724137,0.6986301369863014
50,5,10,10,auto,False,0.9827586206896551,0.7123287671232876
50,5,10,20,auto,True,0.8310344827586207,0.6986301369863014
50,5,10,20,auto,False,0.9344827586206896,0.684931506849315
50,5,20,1,auto,True,0.9655172413793104,0.7397260273972602
50,5,20,1,auto,False,0.993103448275862,0.7123287671232876
50,5,20,2,auto,True,0.9620689655172414,0.726027397260274
50,5,20,2,auto,False,0.993103448275862,0.7397260273972602
50,5,20,5,auto,True,0.9448275862068966,0.7534246575342466
50,5,20,5,auto,False,0.996551724137931,0.726027397260274
50,5,20,10,auto,True,0.9206896551724137,0.6986301369863014
50,5,20,10,auto,False,0.9827586206896551,0.7123287671232876
50,5,20,20,auto,True,0.8310344827586207,0.6986301369863014
50,5,20,20,auto,False,0.9344827586206896,0.684931506849315
50,5,50,1,auto,True,0.8793103448275862,0.7123287671232876
50,5,50,1,auto,False,0.9724137931034482,0.7123287671232876
50,5,50,2,auto,True,0.8655172413793103,0.726027397260274
50,5,50,2,auto,False,0.9655172413793104,0.726027397260274
50,5,50,5,auto,True,0.8586206896551725,0.7397260273972602
50,5,50,5,auto,False,0.9724137931034482,0.726027397260274
50,5,50,10,auto,True,0.8448275862068966,0.7123287671232876
50,5,50,10,auto,False,0.9586206896551724,0.7123287671232876
50,5,50,20,auto,True,0.8137931034482758,0.6712328767123288
